epoch	training_loss	validation_loss
0.0	2.7596	None
0.0	2.2868	None
0.0	1.4919	None
0.0	1.149	None
0.0	1.0793	None
0.0	1.1406	None
0.0	1.0368	None
0.0	1.009	None
0.0	None	0.9970483183860779
0.0	1.0646	None
0.0	0.9677	None
0.01	0.9247	None
0.01	0.9999	None
0.01	0.8962	None
0.01	0.9292	None
0.01	0.902	None
0.01	0.9626	None
0.01	None	0.93296879529953
0.01	0.9135	None
0.01	0.9884	None
0.01	0.8409	None
0.01	0.9638	None
0.01	0.9166	None
0.01	0.8797	None
0.01	0.8625	None
0.01	0.9302	None
0.01	None	0.9171545505523682
0.01	0.9759	None
0.01	0.9976	None
0.01	0.9576	None
0.01	0.8862	None
0.01	0.9204	None
0.01	0.8861	None
0.01	0.9984	None
0.02	0.9421	None
0.02	None	0.9102029204368591
0.02	0.9052	None
0.02	0.7643	None
0.02	0.9291	None
0.02	0.8763	None
0.02	0.9493	None
0.02	0.95	None
0.02	0.9732	None
0.02	0.9007	None
0.02	None	0.9040282964706421
0.02	0.8054	None
0.02	1.0327	None
0.02	0.899	None
0.02	0.933	None
0.02	0.8817	None
0.02	0.8862	None
0.02	0.8571	None
0.02	0.8841	None
0.02	None	0.8996492028236389
0.02	0.9151	None
0.02	0.869	None
0.02	0.9848	None
0.02	0.9636	None
0.02	1.0093	None
0.03	0.983	None
0.03	0.8943	None
0.03	0.9846	None
0.03	None	0.8956727385520935
0.03	0.9634	None
0.03	0.9142	None
0.03	0.9639	None
0.03	0.994	None
0.03	0.9426	None
0.03	0.9188	None
0.03	0.8795	None
0.03	0.8373	None
0.03	None	0.8927685022354126
0.03	0.9511	None
0.03	0.8852	None
0.03	0.8554	None
0.03	0.8823	None
0.03	0.8695	None
0.03	0.9745	None
0.03	0.9246	None
0.03	0.8764	None
0.03	None	0.8914238214492798
0.03	0.8852	None
0.03	0.9217	None
0.04	0.9289	None
0.04	0.8954	None
0.04	0.9347	None
0.04	0.9315	None
0.04	0.9786	None
0.04	0.8282	None
0.04	None	0.8883712887763977
0.04	0.7682	None
0.04	0.8539	None
0.04	0.8496	None
0.04	0.8171	None
0.04	0.9503	None
0.04	0.8106	None
0.04	0.9418	None
0.04	0.8652	None
0.04	None	0.889292299747467
0.04	0.9573	None
0.04	0.9218	None
0.04	0.9915	None
0.04	0.8608	None
0.04	0.8806	None
0.04	0.8899	None
0.04	0.8379	None
0.05	0.932	None
0.05	None	0.8841413259506226
0.05	0.8699	None
0.05	1.1173	None
0.05	0.937	None
0.05	0.8011	None
0.05	0.8993	None
0.05	0.9243	None
0.05	0.8909	None
0.05	0.9552	None
0.05	None	0.8853546380996704
0.05	0.9015	None
0.05	0.816	None
0.05	0.9643	None
0.05	0.8208	None
0.05	0.8768	None
0.05	0.9354	None
0.05	0.8591	None
0.05	0.8584	None
0.05	None	0.8837636113166809
0.05	0.8585	None
0.05	0.8976	None
0.05	0.9046	None
0.05	0.8551	None
0.06	0.8194	None
0.06	0.9007	None
0.06	0.7465	None
0.06	0.975	None
0.06	None	0.8843067288398743
0.06	0.9201	None
0.06	0.9518	None
0.06	0.7608	None
0.06	0.845	None
0.06	0.9189	None
0.06	0.8233	None
0.06	0.8244	None
0.06	0.8587	None
0.06	None	0.8808267712593079
0.06	0.8634	None
0.06	0.9707	None
0.06	0.8526	None
0.06	0.8093	None
0.06	0.8573	None
0.06	0.9665	None
0.06	0.8676	None
0.06	0.9182	None
0.06	None	0.8808508515357971
0.06	0.952	None
0.06	0.8974	None
0.07	0.9164	None
0.07	0.8807	None
0.07	0.9044	None
0.07	0.8373	None
0.07	1.0076	None
0.07	0.8914	None
0.07	None	0.8783832788467407
0.07	0.8	None
0.07	0.8838	None
0.07	0.9256	None
0.07	0.8735	None
0.07	0.8939	None
0.07	0.7873	None
0.07	0.9278	None
0.07	0.9238	None
0.07	None	0.882189929485321
0.07	1.0224	None
0.07	0.8986	None
0.07	0.9194	None
0.07	0.9466	None
0.07	0.8883	None
0.07	0.9081	None
0.07	0.9106	None
0.08	0.8721	None
0.08	None	0.8791590332984924
0.08	0.8519	None
0.08	0.9031	None
0.08	0.8821	None
0.08	0.938	None
0.08	0.844	None
0.08	0.9843	None
0.08	0.8989	None
0.08	0.941	None
0.08	None	0.8787591457366943
0.08	0.8966	None
0.08	0.9101	None
0.08	0.9912	None
0.08	0.8184	None
0.08	0.834	None
0.08	0.8858	None
0.08	0.7999	None
0.08	0.9114	None
0.08	None	0.8783181309700012
0.08	0.9478	None
0.08	0.9443	None
0.08	0.8569	None
0.08	0.874	None
0.09	0.7746	None
0.09	0.8773	None
0.09	0.9397	None
0.09	0.8817	None
0.09	None	0.8770412802696228
0.09	0.8787	None
0.09	0.828	None
0.09	0.9166	None
0.09	0.8883	None
0.09	0.9146	None
0.09	0.8447	None
0.09	0.8943	None
0.09	0.8706	None
0.09	None	0.876733124256134
0.09	0.8797	None
0.09	0.7403	None
0.09	0.8533	None
0.09	0.8735	None
0.09	0.8991	None
0.09	0.8214	None
0.09	0.9086	None
0.09	0.8403	None
0.09	None	0.8785779476165771
0.09	0.9085	None
0.09	0.9168	None
0.1	0.9357	None
0.1	0.8734	None
0.1	0.9922	None
0.1	0.8344	None
0.1	0.8738	None
0.1	0.914	None
0.1	None	0.8757016658782959
0.1	0.8314	None
0.1	0.9079	None
0.1	0.8671	None
0.1	0.9161	None
0.1	0.9478	None
0.1	0.9118	None
0.1	0.9474	None
0.1	0.9003	None
0.1	None	0.8756681084632874
0.1	0.9178	None
0.1	0.8483	None
0.1	0.8845	None
0.1	0.8487	None
0.1	0.8814	None
0.1	0.9048	None
0.1	0.9358	None
0.11	0.8739	None
0.11	None	0.8776163458824158
0.11	0.944	None
0.11	0.9392	None
0.11	0.9363	None
0.11	0.9508	None
0.11	0.8335	None
0.11	0.8934	None
0.11	0.975	None
0.11	0.8955	None
0.11	None	0.8750203251838684
0.11	0.8802	None
0.11	0.8418	None
0.11	0.9394	None
0.11	0.9329	None
0.11	0.8676	None
0.11	0.8821	None
0.11	0.948	None
0.11	0.7557	None
0.11	None	0.8748981952667236
0.11	0.9567	None
0.11	0.8244	None
0.11	0.9236	None
0.11	0.8454	None
0.12	0.9359	None
0.12	0.901	None
0.12	0.9215	None
0.12	0.7989	None
0.12	None	0.8764954805374146
0.12	0.8914	None
0.12	0.8512	None
0.12	0.898	None
0.12	0.949	None
0.12	0.8613	None
0.12	0.8652	None
0.12	0.8274	None
0.12	0.9302	None
0.12	None	0.8755893111228943
0.12	0.8392	None
0.12	0.9728	None
0.12	0.9724	None
0.12	0.7872	None
0.12	0.8622	None
0.12	0.8496	None
0.12	0.8037	None
0.12	0.9223	None
0.12	None	0.8746159672737122
0.12	0.8491	None
0.13	0.8522	None
0.13	0.9538	None
0.13	0.8682	None
0.13	0.8719	None
0.13	0.8818	None
0.13	0.8845	None
0.13	0.8921	None
0.13	None	0.8718335628509521
0.13	0.8058	None
0.13	0.7802	None
0.13	0.8035	None
0.13	0.8937	None
0.13	0.833	None
0.13	0.962	None
0.13	0.9173	None
0.13	0.95	None
0.13	None	0.8723340630531311
0.13	1.0111	None
0.13	0.9076	None
0.13	0.8429	None
0.13	0.8825	None
0.13	0.8437	None
0.13	0.9046	None
0.13	0.8309	None
0.14	0.9521	None
0.14	None	0.8732203245162964
0.14	0.8393	None
0.14	0.9107	None
0.14	0.7612	None
0.14	0.9323	None
0.14	0.866	None
0.14	0.9406	None
0.14	0.8049	None
0.14	0.8775	None
0.14	None	0.8728994727134705
0.14	0.7884	None
0.14	0.8883	None
0.14	0.8536	None
