epoch	training_loss	validation_loss
0.0	2.6989	None
0.0	1.9401	None
0.0	1.2334	None
0.0	1.0605	None
0.0	1.0643	None
0.0	0.9761	None
0.0	0.9914	None
0.0	0.9492	None
0.0	None	0.9807576537132263
0.0	0.9327	None
0.0	0.9971	None
0.01	0.9178	None
0.01	0.9281	None
0.01	0.9273	None
0.01	0.945	None
0.01	0.8595	None
0.01	0.9982	None
0.01	None	0.9390745759010315
0.01	1.0014	None
0.01	0.917	None
0.01	0.9563	None
0.01	1.0265	None
0.01	0.8758	None
0.01	1.0055	None
0.01	0.9052	None
0.01	0.9368	None
0.01	None	0.9256420135498047
0.01	0.8423	None
0.01	0.8881	None
0.01	0.9824	None
0.01	0.8796	None
0.01	0.9681	None
0.01	0.8821	None
0.01	0.9331	None
0.02	0.8332	None
0.02	None	0.9200099110603333
0.02	0.9691	None
0.02	0.9552	None
0.02	0.9183	None
0.02	0.9976	None
0.02	0.9919	None
0.02	0.845	None
0.02	0.8545	None
0.02	0.8423	None
0.02	None	0.9129261374473572
0.02	0.9956	None
0.02	0.8962	None
0.02	0.8831	None
0.02	0.9354	None
0.02	0.9128	None
0.02	0.9003	None
0.02	0.9259	None
0.02	0.9179	None
0.02	None	0.915459394454956
0.02	0.995	None
0.02	0.9665	None
0.02	1.0054	None
0.02	0.9415	None
0.02	0.9849	None
0.03	1.0306	None
0.03	0.9044	None
0.03	0.9269	None
0.03	None	0.9075679779052734
0.03	0.9449	None
0.03	0.7777	None
0.03	0.8398	None
0.03	0.8849	None
0.03	0.9947	None
0.03	0.8674	None
0.03	0.8573	None
0.03	0.9082	None
0.03	None	0.907421886920929
0.03	0.7902	None
0.03	0.8742	None
0.03	0.8671	None
0.03	0.8784	None
0.03	0.8312	None
0.03	0.9092	None
0.03	0.9416	None
0.03	0.981	None
0.03	None	0.9060047268867493
0.03	0.9026	None
0.03	0.901	None
0.04	0.8138	None
0.04	0.8932	None
0.04	0.9717	None
0.04	0.8912	None
0.04	0.8573	None
0.04	0.9343	None
0.04	None	0.9021293520927429
